"","Column","Row","TreePlantDate","Transplant","TreeDeath"
"1","C",2,2013-10-17,0,0
"2","C",3,2013-10-17,0,0
"3","C",4,2016-05-12,0,0
"4","C",5,2013-10-17,0,0
"5","C",6,2014-10-17,0,0
"6","C",7,2016-05-12,0,0
"7","C",8,2013-10-17,0,0
"8","C",9,2013-10-17,0,0
"9","C",10,2013-10-17,0,0
"10","C",12,2016-05-12,0,0
"11","C",13,2013-10-17,0,0
"12","C",14,2016-05-12,0,0
"13","C",16,2016-05-12,0,0
"14","C",17,2016-05-12,0,0
"15","C",18,2013-10-17,0,0
"16","C",19,2013-10-17,0,0
"17","C",20,2013-10-17,0,0
"18","C",21,2013-10-17,0,0
"19","C",22,2014-10-17,1,0
"20","C",23,2016-05-12,0,0
"21","C",24,2013-10-17,0,0
"22","C",25,2013-10-17,0,0
"23","C",26,2014-10-17,1,0
"24","C",27,2013-10-17,0,0
"25","C",28,2014-10-17,1,0
"26","C",29,2013-10-17,0,0
"27","C",30,2013-10-17,0,0
"28","C",31,2013-10-17,0,0
"29","C",32,2016-05-12,0,0
"30","C",33,2013-10-17,0,0
"31","C",34,2013-10-17,0,0
"32","C",35,2014-10-17,1,0
"33","C",36,2013-10-17,0,0
"34","C",37,2016-05-12,0,0
"35","C",38,2016-05-12,0,0
"36","C",39,2013-10-17,0,0
"37","C",40,2016-05-12,0,0
"38","C",41,2013-10-17,0,0
"39","C",42,2016-05-12,0,0
"40","C",43,2016-05-12,0,0
"41","C",44,2013-10-17,0,0
"42","C",45,2013-10-17,0,0
"43","C",46,2013-10-17,0,0
"44","C",46,2014-10-17,1,0
"45","C",47,2013-10-17,0,0
"46","C",48,2016-05-12,0,0
"47","C",49,2016-05-12,0,0
"48","C",50,2016-05-12,0,0
"49","C",51,2014-10-17,1,0
"50","C",52,2013-10-17,0,0
"51","C",53,2013-10-17,0,0
"52","C",54,2016-05-12,0,0
"53","C",55,2013-10-17,0,0
"54","C",56,2013-10-17,0,0
"55","C",57,2016-05-12,0,0
"56","C",58,2016-05-12,0,0
"57","C",59,2016-05-12,0,0
"58","C",60,2016-05-12,0,0
"59","C",61,2014-10-17,1,0
"60","C",63,2014-10-17,0,0
"61","C",64,2016-05-12,0,0
"62","C",65,2013-10-17,0,0
"63","C",66,2014-10-17,0,0
"64","C",67,2016-05-12,0,0
