"","Column","Row","TreePlantDate","Transplant","TreeDeath"
"1","C",1,2013-10-17,0,1
"2","C",4,2013-10-17,0,1
"3","C",4,2014-10-17,0,1
"4","C",6,2013-10-17,0,1
"5","C",7,2013-10-17,0,1
"6","C",11,2013-10-17,0,1
"7","C",12,2013-10-17,0,1
"8","C",14,2013-10-17,0,1
"9","C",14,2014-10-17,0,1
"10","C",15,2013-10-17,0,1
"11","C",16,2013-10-17,0,1
"12","C",16,2014-10-17,0,1
"13","C",17,2013-10-17,0,1
"14","C",22,2013-10-17,0,1
"15","C",23,2013-10-17,0,1
"16","C",26,2013-10-17,0,1
"17","C",26,2014-10-17,0,1
"18","C",28,2013-10-17,0,1
"19","C",32,2013-10-17,0,1
"20","C",35,2013-10-17,0,1
"21","C",35,2014-10-17,0,1
"22","C",37,2013-10-17,0,1
"23","C",38,2013-10-17,0,1
"24","C",40,2013-10-17,0,1
"25","C",42,2013-10-17,0,1
"26","C",43,2013-10-17,0,1
"27","C",43,2014-10-17,0,1
"28","C",48,2013-10-17,0,1
"29","C",48,2014-10-17,0,1
"30","C",49,2013-10-17,0,1
"31","C",49,2014-10-17,0,1
"32","C",50,2013-10-17,0,1
"33","C",51,2013-10-17,0,1
"34","C",51,2014-10-17,0,1
"35","C",51,2016-05-12,0,1
"36","C",54,2013-10-17,0,1
"37","C",57,2013-10-17,0,1
"38","C",58,2013-10-17,0,1
"39","C",59,2013-10-17,0,1
"40","C",60,2013-10-17,0,1
"41","C",61,2013-10-17,0,1
"42","C",61,2016-05-12,0,1
"43","C",62,2013-10-17,0,1
"44","C",62,2016-05-12,0,1
"45","C",63,2013-10-17,0,1
"46","C",64,2013-10-17,0,1
"47","C",66,2013-10-17,0,1
"48","C",67,2013-10-17,0,1
"49","C",68,2013-10-17,0,1
"50","C",69,2013-10-17,0,1
"51","C",70,2013-10-17,0,1
"52","C",71,2013-10-17,0,1
"53","C",72,2013-10-17,0,1
"54","C",73,2013-10-17,0,1
"55","C",74,2013-10-17,0,1
"56","C",75,2013-10-17,0,1
"57","C",75,2014-10-17,0,1
"58","C",76,2013-10-17,0,1
"59","C",76,2014-10-17,0,1
"60","C",77,2013-10-17,0,1
"61","C",78,2013-10-17,0,1
"62","C",79,2013-10-17,0,1
"63","C",80,2013-10-17,0,1
"64","C",80,2016-05-12,0,1
"65","C",84,2013-10-17,0,1
"66","C",85,2013-10-17,0,1
"67","C",86,2013-10-17,0,1
"68","C",89,2013-10-17,0,1
"69","C",90,2013-10-17,0,1
"70","C",91,2013-10-17,0,1
"71","C",91,2014-10-17,0,1
"72","C",92,2013-10-17,0,1
"73","C",93,2013-10-17,0,1
"74","C",96,2013-10-17,0,1
"75","C",98,2013-10-17,0,1
"76","C",100,2013-10-17,0,1
"77","C",101,2013-10-17,0,1
"78","C",102,2013-10-17,0,1
"79","C",103,2013-10-17,0,1
"80","G",2,2014-10-17,0,1
"81","G",3,2014-10-17,0,1
"82","G",4,2014-10-17,0,1
"83","G",5,2014-10-17,0,1
"84","G",6,2014-10-17,0,1
"85","G",12,2014-10-17,0,1
"86","G",13,2014-10-17,0,1
"87","G",14,2014-10-17,0,1
"88","G",15,2014-10-17,0,1
"89","G",16,2014-10-17,0,1
"90","G",17,2014-10-17,0,1
"91","G",19,2014-10-17,0,1
"92","G",21,2014-10-17,0,1
"93","G",22,2014-10-17,0,1
"94","G",23,2014-10-17,0,1
"95","G",24,2014-10-17,0,1
"96","G",24,2016-05-12,0,1
"97","G",25,2014-10-17,0,1
"98","G",26,2014-10-17,0,1
"99","G",27,2014-10-17,0,1
"100","G",28,2014-10-17,0,1
"101","G",29,2014-10-17,0,1
"102","G",30,2014-10-17,0,1
"103","G",32,2014-10-17,0,1
"104","G",33,2014-10-17,0,1
"105","G",34,2014-10-17,0,1
"106","G",36,2014-10-17,0,1
"107","G",38,2014-10-17,0,1
"108","G",39,2014-10-17,0,1
"109","G",40,2014-10-17,0,1
"110","G",42,2014-10-17,0,1
"111","G",43,2014-10-17,0,1
"112","G",44,2014-10-17,0,1
"113","G",45,2014-10-17,0,1
"114","G",47,2014-10-17,0,1
"115","G",48,2014-10-17,0,1
"116","G",49,2014-10-17,0,1
"117","G",50,2016-05-12,0,1
"118","G",51,2014-10-17,0,1
"119","G",53,2014-10-17,0,1
"120","G",54,2014-10-17,0,1
"121","G",55,2014-10-17,0,1
"122","G",56,2014-10-17,0,1
"123","G",57,2014-10-17,0,1
"124","G",59,2013-10-17,0,1
"125","G",60,2013-10-17,0,1
"126","G",61,2013-10-17,0,1
"127","G",62,2013-10-17,0,1
"128","G",63,2013-10-17,0,1
"129","G",65,2013-10-17,0,1
"130","G",66,2013-10-17,0,1
"131","G",66,2014-10-17,0,1
"132","G",67,2013-10-17,0,1
"133","G",68,2013-10-17,0,1
"134","G",69,2013-10-17,0,1
"135","G",71,2013-10-17,0,1
"136","G",72,2013-10-17,0,1
"137","G",75,2013-10-17,0,1
"138","G",76,2013-10-17,0,1
"139","G",77,2013-10-17,0,1
"140","G",78,2013-10-17,0,1
"141","G",82,2013-10-17,0,1
"142","G",84,2013-10-17,0,1
"143","G",87,2013-10-17,0,1
"144","G",88,2013-10-17,0,1
"145","G",91,2013-10-17,0,1
"146","G",92,2013-10-17,0,1
"147","G",93,2013-10-17,0,1
"148","G",95,2013-10-17,0,1
"149","G",95,2016-05-12,0,1
"150","G",96,2013-10-17,0,1
"151","G",97,2013-10-17,0,1
"152","G",98,2013-10-17,0,1
"153","G",99,2013-10-17,0,1
"154","G",100,2013-10-17,0,1
"155","G",101,2013-10-17,0,1
"156","G",101,2014-10-17,0,1
"157","G",102,2013-10-17,0,1
"158","G",103,2013-10-17,0,1
"159","G",104,2013-10-17,0,1
"160","G",104,2014-10-17,0,1
"161","G",105,2013-10-17,0,1
"162","G",106,2013-10-17,0,1
"163","G",106,2014-10-17,0,1
"164","G",107,2013-10-17,0,1
"165","G",109,2013-10-17,0,1
"166","G",110,2013-10-17,0,1
"167","G",110,2014-10-17,0,1
"168","G",113,2013-10-17,0,1
"169","G",114,2013-10-17,0,1
"170","G",116,2013-10-17,0,1
"171","G",118,2013-10-17,0,1
"172","G",119,2013-10-17,0,1
"173","K",1,2014-10-17,0,1
"174","K",4,2014-10-17,0,1
"175","K",5,2014-10-17,0,1
"176","K",9,2014-10-17,0,1
"177","K",12,2014-10-17,0,1
"178","K",13,2014-10-17,0,1
"179","K",13,2016-05-12,0,1
