"","TreeID","TreeLocationID","TreeVarietyID","TreeSourceID","RootVarietyID","TreeDeath","TreeDeathDate","TreePlantDate","TreeEndDate","Transplant","TransplantedFromID","Column","Row","Latitude","Longitude","HillTop","Slope","Valley","ElevationFt","OrchardMixtureID","TreeVarietyName","Pollinator","EventType.x","ToppedDate","EventType.y","BurrCountYear2019","EventType","BurrCountYear2020"
"1",1,1,4,1,1,1,2016-05-12,2013-10-17,NA,0,NA,"A",1,NA,NA,0,0,0,NA,1,"Precoce Migoule",1,NA,NA,"Burr 1",2019-09-30,"Burr 2",2020-09-30
"2",2,3,3,1,1,0,NA,2013-10-17,NA,0,NA,"A",3,NA,NA,0,0,0,NA,1,"Labor Day",1,NA,NA,"Burr 1",2019-09-30,"Burr 3",2020-09-30
"3",3,5,4,1,1,1,2015-06-01,2013-10-17,NA,0,NA,"A",5,NA,NA,0,0,0,NA,1,"Precoce Migoule",1,NA,NA,"Burr 0",2019-09-30,"Burr 0",2020-09-30
"4",4,7,3,1,1,1,2015-06-01,2013-10-17,NA,0,NA,"A",7,NA,NA,0,0,0,NA,1,"Labor Day",1,NA,NA,"Burr 1",2019-09-30,"Burr 0",2020-09-30
"5",5,9,4,1,1,0,NA,2013-10-17,NA,0,NA,"A",9,NA,NA,0,0,0,NA,1,"Precoce Migoule",1,NA,NA,"Burr 2",2019-09-30,"Burr 3",2020-09-30
"6",6,11,3,1,1,0,NA,2013-10-17,NA,0,NA,"A",11,NA,NA,0,0,0,NA,1,"Labor Day",1,NA,NA,"Burr 1",2019-09-30,"Burr 1",2020-09-30
"7",7,13,4,1,1,0,NA,2013-10-17,NA,0,NA,"A",13,NA,NA,0,0,0,NA,1,"Precoce Migoule",1,NA,NA,"Burr 1",2019-09-30,"Burr 3",2020-09-30
"8",8,15,3,1,1,1,2016-05-12,2013-10-17,NA,0,NA,"A",15,NA,NA,0,0,0,NA,1,"Labor Day",1,NA,NA,"Burr 0",2019-09-30,"Burr 0",2020-09-30
"9",9,17,4,1,1,0,NA,2013-10-17,NA,0,NA,"A",17,NA,NA,0,0,0,NA,1,"Precoce Migoule",1,NA,NA,"Burr 2",2019-09-30,"Burr 3",2020-09-30
"10",10,19,3,1,1,1,2014-06-01,2013-10-17,NA,0,NA,"A",19,NA,NA,0,0,0,NA,1,"Labor Day",1,NA,NA,"Burr 1",2019-09-30,"Burr 1",2020-09-30
"11",11,21,4,1,1,1,2016-05-12,2013-10-17,NA,0,NA,"A",21,NA,NA,0,0,0,NA,1,"Precoce Migoule",1,NA,NA,"Burr 1",2019-09-30,"Burr 1",2020-09-30
"12",12,23,3,1,1,1,2016-05-12,2013-10-17,NA,0,NA,"A",23,NA,NA,0,0,0,NA,1,"Labor Day",1,NA,NA,"Burr 1",2019-09-30,"Burr 1",2020-09-30
"13",13,25,4,1,1,0,NA,2013-10-17,NA,0,NA,"A",25,NA,NA,0,0,0,NA,1,"Precoce Migoule",1,NA,NA,"Burr 2",2019-09-30,"Burr 3",2020-09-30
"14",14,27,3,1,1,1,2014-06-01,2013-10-17,NA,0,NA,"A",27,NA,NA,0,0,0,NA,1,"Labor Day",1,NA,NA,"Burr 0",2019-09-30,"Burr 1",2020-09-30
"15",15,29,4,1,1,0,NA,2013-10-17,NA,0,NA,"A",29,NA,NA,0,0,0,NA,1,"Precoce Migoule",1,NA,NA,"Burr 1",2019-09-30,"Burr 2",2020-09-30
"16",16,31,3,1,1,1,2015-06-01,2013-10-17,NA,0,NA,"A",31,NA,NA,0,0,0,NA,1,"Labor Day",1,NA,NA,"Burr 1",2019-09-30,"Burr 1",2020-09-30
"17",17,33,4,1,1,0,NA,2013-10-17,NA,0,NA,"A",33,NA,NA,0,0,0,NA,1,"Precoce Migoule",1,NA,NA,"Burr 1",2019-09-30,"Burr 2",2020-09-30
"18",18,35,3,1,1,1,2015-06-01,2013-10-17,NA,0,NA,"A",35,NA,NA,0,0,0,NA,1,"Labor Day",1,NA,NA,"Burr 0",2019-09-30,"Burr 0",2020-09-30
