"","TreeLocationID","Column","Row","Latitude","Longitude","HillTop","Slope","Valley","ElevationFt","OrchardMixtureID"
"1",1,"A",1,NA,NA,0,0,0,NA,1
"2",2,"A",2,NA,NA,0,0,0,NA,1
"3",3,"A",3,NA,NA,0,0,0,NA,1
"4",4,"A",4,NA,NA,0,0,0,NA,1
"5",5,"A",5,NA,NA,0,0,0,NA,1
"6",6,"A",6,NA,NA,0,0,0,NA,1
"7",7,"A",7,NA,NA,0,0,0,NA,1
"8",8,"A",8,NA,NA,0,0,0,NA,1
"9",9,"A",9,NA,NA,0,0,0,NA,1
"10",10,"A",10,NA,NA,0,0,0,NA,1
"11",11,"A",11,NA,NA,0,0,0,NA,1
"12",12,"A",12,NA,NA,0,0,0,NA,1
"13",13,"A",13,NA,NA,0,0,0,NA,1
"14",14,"A",14,NA,NA,0,0,0,NA,1
"15",15,"A",15,NA,NA,0,0,0,NA,1
"16",16,"A",16,NA,NA,0,0,0,NA,1
"17",17,"A",17,NA,NA,0,0,0,NA,1
"18",18,"A",18,NA,NA,0,0,0,NA,1
"19",19,"A",19,NA,NA,0,0,0,NA,1
"20",20,"A",20,NA,NA,0,0,0,NA,1
"21",21,"A",21,NA,NA,0,0,0,NA,1
"22",22,"A",22,NA,NA,0,0,0,NA,1
"23",23,"A",23,NA,NA,0,0,0,NA,1
"24",24,"A",24,NA,NA,0,0,0,NA,1
"25",25,"A",25,NA,NA,0,0,0,NA,1
"26",26,"A",26,NA,NA,0,0,0,NA,1
"27",27,"A",27,NA,NA,0,0,0,NA,1
"28",28,"A",28,NA,NA,0,0,0,NA,1
"29",29,"A",29,NA,NA,0,0,0,NA,1
"30",30,"A",30,NA,NA,0,0,0,NA,1
"31",31,"A",31,NA,NA,0,0,0,NA,1
"32",32,"A",32,NA,NA,0,0,0,NA,1
"33",33,"A",33,NA,NA,0,0,0,NA,1
"34",34,"A",34,NA,NA,0,0,0,NA,1
"35",35,"A",35,NA,NA,0,0,0,NA,1
"36",36,"A",36,NA,NA,0,0,0,NA,1
"37",37,"A",37,NA,NA,0,0,0,NA,1
"38",38,"A",38,NA,NA,0,0,0,NA,1
"39",39,"A",39,NA,NA,0,0,0,NA,1
"40",40,"A",40,NA,NA,0,0,0,NA,1
"41",41,"A",41,NA,NA,0,0,0,NA,1
"42",42,"A",42,NA,NA,0,0,0,NA,1
"43",43,"A",43,NA,NA,0,0,0,NA,1
"44",44,"A",44,NA,NA,0,0,0,NA,1
"45",45,"A",45,NA,NA,0,0,0,NA,1
"46",46,"A",46,NA,NA,0,0,0,NA,1
"47",47,"A",47,NA,NA,0,0,0,NA,1
"48",48,"A",48,NA,NA,0,0,0,NA,1
"49",49,"A",49,NA,NA,0,0,0,NA,1
"50",50,"A",50,NA,NA,0,0,0,NA,1
"51",51,"A",51,NA,NA,0,0,0,NA,1
"52",52,"A",52,NA,NA,0,0,0,NA,1
"53",53,"A",53,NA,NA,0,0,0,NA,1
"54",54,"A",54,NA,NA,0,0,0,NA,1
"55",55,"A",55,NA,NA,0,0,0,NA,1
"56",56,"A",56,NA,NA,0,0,0,NA,1
"57",57,"A",57,NA,NA,0,0,0,NA,1
"58",58,"A",58,NA,NA,0,0,0,NA,1
"59",59,"A",59,NA,NA,0,0,0,NA,1
"60",60,"A",60,NA,NA,0,0,0,NA,1
"61",61,"A",61,NA,NA,0,0,0,NA,1
"62",62,"A",62,NA,NA,0,0,0,NA,1
"63",63,"A",63,NA,NA,0,0,0,NA,1
"64",64,"A",64,NA,NA,0,0,0,NA,1
"65",65,"A",65,NA,NA,0,0,0,NA,1
"66",66,"A",66,NA,NA,0,0,0,NA,1
"67",67,"A",67,NA,NA,0,0,0,NA,1
"68",68,"A",68,NA,NA,0,0,0,NA,1
"69",69,"A",69,NA,NA,0,0,0,NA,1
"70",70,"A",70,NA,NA,0,0,0,NA,1
"71",71,"A",71,NA,NA,0,0,0,NA,1
"72",72,"A",72,NA,NA,0,0,0,NA,1
"73",73,"A",73,NA,NA,0,0,0,NA,1
"74",74,"A",74,NA,NA,0,0,0,NA,1
"75",75,"A",75,NA,NA,0,0,0,NA,1
"76",76,"A",76,NA,NA,0,0,0,NA,1
"77",77,"A",77,NA,NA,0,0,0,NA,1
"78",78,"A",78,NA,NA,0,0,0,NA,1
"79",79,"A",79,NA,NA,0,0,0,NA,1
"80",80,"A",80,NA,NA,0,0,0,NA,1
"81",81,"A",81,NA,NA,0,0,0,NA,1
"82",82,"A",82,NA,NA,0,0,0,NA,1
"83",83,"A",83,NA,NA,0,0,0,NA,1
"84",84,"A",84,NA,NA,0,0,0,NA,1
"85",85,"A",85,NA,NA,0,0,0,NA,1
"86",86,"A",86,NA,NA,0,0,0,NA,1
